Text,Rating,Sentiment
"kenapa note di reels dihapus? padahal udah suka banget🙂🥀 dan tolong yaa itu kalo ada story lama di sorotan kadang ""audio tidak tersedia"" jadi ga enak banget sumpah😭 tolonglah jadi ga aesthetic gitu, ubah jadi bisa ganti atau jangan bikin audio tidak tersedia gitu wee. 👊🏻😔 trus juga musik yang tersimpan ga muncul di akun ku yang sering aku gunain, giliran yang jarang aku pake ehh muncul tuh audio yang disimpan. 🙂🥀🥀 kit heart dedek",1,Negative
"aku mengalami 3 masalah, salah satunya adalah 1. Durasi instagram story terlalu singkat 2. kadang tidak bisa memuat gif/memuat gif terlalu lama padahal sinyalnya bagus 3. terkadang tidak bisa like reels tolong perbaiki",3,Neutral
"knp setiap saya mau upload feeds di second dan saya edit entah geser sedikit foto atau tambah teks itu selalu gambar nya ilang, ga bisa di up dan harus ulang dari awal. bahkan saya sering kerja 2× untuk edit foto nya di apk lain agar bisa langsung post. ini udah sering bgt gatau knp. Dan juga setiap mau upload sg di akun mana pun harus ngulang 3-4× karena begitu di post ga langsung nge post, tp ke hapus dan muncuk tulisan ""kesalahan"". ig tolong dong ini nyusahin bgt.",1,Negative
aku suka memakai Instagram foto dan video yang ku posting banyak yang tonton dan film film di Instagram sangat menyenangkan bukan cuman itu filter Instagram juga cantik dan sangat menarik begitu juga dengan fitur fitur Instagram lain nya yang sangat seruuuuu!!!!!!!!!!,5,Positive
oke sekarang saya kalau mau posting foto terjadi bug. ini gatau ya mungkin aja app instagram gak kuat apa gimana tiap posting sesuatu ada aja kendala contoh mau kasih caption tiba tiba ga ada daftar cari tuh di @ ataupun dikasih pager. terus udh dibenerin sendiri bugnya... malah ketemu bug baru yaitu gambar tiba tiba penyet sendiri. dan pindah pindah sendiri. tolong dong dibenerin bugnya resah banget,1,Negative
"Banyak bug, 1. notif pesan gada pdhl di setelan udh dihidupin. 2. Pengikut kdg hilang tp kdg kembali seperti semula 3. layar tiba2 blank hitam pdhl cuma liat video reels dan HP mumpuni dgn ram besar tp masih aja blank 1. Penyimpanan data instagram masih terlalu besar pdhl buka ig cuma sebentar & cuma lihat story 2. Kualitas foto & video ga maksimal, pdhl udh diaktifin disetelan aplikasi masih sama kadang suka blur padahal kualitas foto sudah UHD Mohon diperbaiki",1,Negative
Di update aplikasinya malah makin parah! masa saya gak bisa lagi tag teman saya di story Instagram maupun di notes Instagram. BARU KALI INI KECEWA BANGET SIH SAMA INSTAGRAM. Tolong deh diperbaiki Kembalikan seperti sebelumnya itu lebih baik!,1,Negative
"[UPDATE BUG] Ketika kita ingin melihat caption panjang dengan mengKlik ""selengkapnya"" sering not respon, bahkan sudah di klik berulang2 masih aja sama, sudah saya restart aplikasi tapi masih aja sama, fitur doang di kembangkan tapi Bug dan lainnya tidak di perbaiki.",1,Negative
"aplikasi nya bagus.. tapi tolong, tambahkan sebuah fitur untuk memindah foto di postingan yang sudah terlanjur terposting, untuk mengurutkan lagi agar sesuai keinginan kita sebagai pengguna, soalnya tadi saya salah urutan fotonya, ada foto/vidio yang saya mau pindah urutannya terimakasih, semoga direspon",5,Positive
"error terus ini gimana Instagram parah,udah diupdate malah gk bisa memuat kabar berita,kuota masih banyak,selalu muncul tulisan aneh,pdhl jarang buka Instagram,katanya sering ada aktifitas yg mencurigakan,aneh..posting juga jarang,...banyak bug nya,parahh tolong diperbaiki lah,",1,Negative
"tolong kembalikan lagi zoom di reels soalnya susah kalau tidak ada. liat story instagram dan aplikasi semakin lama semakin nge bug dan error melulu, aplikasi semakin lama semakin banyak error, tolong segera diperbaiki ya.",1,Negative
"hai, saya pengguna Instagram untuk itu saya minta fitur (tambahkan cerita) di kembalikan di update berikutnya, karna fitur tersebut memberi pengalaman baru & menarik bagi banyak pengguna Instagram tentunya, untuk saat ini saya beri 1* dan jika fitur (tambahkan cerita) kembali! saya akan beri 5* . terimakasih",1,Negative
"saya tidak sengaja menguninstal aplikasi ini karena layar masih online namun di taruh ke saku, saat mencoba instal kembali lalu relog, tidak bisa taruh password, saat ingin mengubah password pun email dan nomer tidak bisa dipakai, 'ada masalah' dan itu terus berulang. mohon tanggapannya.",2,Negative
"ih kok sekarang iklan nya jadi tambah banyak ya? baru 1-2 kali scrol langsung iklan, mana kadang iklan berturut turut 2-3 kali ada juga yang 2 iklan yang sama berturut-turut. ya sebenarnya it's okay kalo ada iklan, tapi ya g sesering itu juga kali. saya tuh mau nonton reels, bukan iklan",1,Negative
"aplikasi nya bagus, sya suka. tetapi mengapa ketika saya buka Instagram, kadang² tuh ga bisa buka? memori masih aman sih. dan kali ini yang paling parah... saya benar² ga bisa membukanya. padahal saya sudah mengikuti tutorial mengatasi masalah ini di YouTube. mohon bantuan untuk mengatasi masalah ini🙏",4,Positive
"Instagram makin kesini makin lemot dan mengecewakan pengguna nya gara gara sering di upgrade terus menerus... Terima kasih... Tolong kalau mau upgrade, makin di rusak ya 🥹 Tuhan memberkati.",1,Negative
knpa disetiap waktu sya habis ngescrol maupun kirim pesan di Instagram ada kendala misal nya saya habis scrol vidio di Instagram tiba tiba muncul gambar putihh polos doang dan ketika kluar langsung kembali lgi seperti semula tetapi pas saya cek profil orang lain kaya seperti baru menggunakan aplikasi pengikut/mengikuti 0 foto profil kosongan+seluruh postingan kosongan semua apalagi tidak bsa mengirimkan pesan padahal koneksi internet saya sangat bagus dan saya mencoba keluar tpi tetep g berubah,1,Negative
Tolong perbaiki masalah bug tidak dapat memuat gambar ketika melihat postingan orang lain yang memiliki beberapa slide di beranda. (stuck/buffer ketika melihat beberapa slide terakhir). Juga masalah tidak dapat memposting ulang reels ke Cerita!,1,Negative
"sebagai pengguna saya merasa update Instagram akhir akhir ini agak menyebalkan, dan mengecewakan. Dari mulai grid yang berubah, hingga ke catatan pada reels/foto yang dihapus. Ini kecil, tapi membuat Instagram serasa kehilangan ""Jati dirinya"". Tolong kedepannya lebih diperhatikan!",3,Neutral
"pembaruan aplks sgt buruk, pengaturan tiba tiba sering berubah, mulai dari akun publik berubah ke privat dengan sendiri nya namun saat dirubah tidak bisa. kadang ada video rels ngebug dengan sendiri nya tolong sedikit diperbaiki supaya lebih baik lagi.",1,Negative
"Video beserta foto yang ditampilin oke,namun disetiap nonton reels selalu nampilin sesuatu yang udah diblok dari awal (contoh kayak anime solo leveling,udah diatur agar gak muncul pas scroll reels tetep muncul) hanya itu sih keluhannya selebihnya aman. Thank you instagram,i'm very happy!!",5,Positive
"bagus semua udah, tapi emang kalau mau ngirim foto atau vidio ke temen ke kompres jadi burem banget, sama satu lagi di saya itu kalau mau ganti sampul sorotan lamanya minta ampun sampe sekarang ngk bisa diganti tolong dong😭",3,Neutral
Banyak bug gak jelas ... komen tiba2 hilang. Edittext di search mengecil krna pake wrap content 🤣 udh di update msh aja bnyk bugnya.. simpan reels aja susah. klik baca selengkapnya gak bisa,1,Negative
"Instagram sekarang buruk tgl pembuatan postingan yg dulu di bawah di ubah ke atas malah seringan gak muncul, jadi gak tau postingan kapan itu. terus tanggapan reaksi di hapuskan padahal itu fitur yg menarik ketika ada di Instagram",1,Negative
"Tampilan feed yg terbaru kurang bagus manjang² gak persegi kaya dulu. makin ke sini settingan algoritma, privasi, dll nya entah jadi kurang seru makin menurun",3,Neutral
mohon di perbaiki padahal jaringan bagus dan volume hp sudah di kasih keras tpi pas di tekan suaranya di ig gk kedengaran suara nya pas nonton story jga GK ad suara nya dan GK gerak video nya di reels nya jga gitu bagaimana ini mohon di perbaiki error nya,2,Negative
"ni ya ig banyak masalah nya versi ini kek, setiap mau upload instastory, itu selalu muncul notifikasi "" Kesalahan "" trus aku cek instastory yang udah aku upload itu ga ada itu tolong dong perbaiki sumpah ganggu banget demi, lalu bug saat pilih lagu itu, ga ada sama sekali yang muncul list lagu yang pertama kali saat di buka kek makin kesini makin banyak masalah nya ig",1,Negative
"Instagram ini bagus banget, tapi sayangnya filter banyak yang hilang, ga bisa di akses, apalagi kadang musik yang kita pakai, hilang atau gabisa di gunain, mungkin juga tambahin fitur kalau ga sengaja ke hapus, bisa di pulihkan, tapi selebihnya baguss bangett 💋",5,Positive
"aplikasinya bagus banget menurut ku, kalau bisa untuk terjemahan saat menonton vidio di perbaiki, karena saat saya mengaktifkan terjemahan dan memilih bahasa jangan terjemahkan ke dalam bahasa ID teks terjemahannya tidak ada yang muncul. tolong kedepannya diperbaiki, GSH",5,Positive
"sekarang setelah update malah berat utk lihat video di reels, jadi hasilnya patah2 pdhal sinyal lancar. Tolong diperbaiki, tambah jelek sekarang kalo mau daftar buat akun baru gk bisa, padahal sinyal bagus dan udah ganti hp maupun pake laptop tetep gk bisa",1,Negative
"Saya suka aplikasi ini, tapi ada fitur yang kurang. Tolong tambahkan fitur supaya semua konten video tidak diputar otomatis. Saran untuk mode penghemat data. Berikan opsi supaya pengguna bisa milih. Foto dan video jangan ditampilkan otomatis, tapi manual saat mode penghemat aktif.",5,Positive
"Reel yang disarankan dan bermunculan tidak sesuai dengan reel yang saya sukai/like, sekalinya muncul lalu saya menonton sampai habis dan menyatakan tertarik pada reel tersebut tapi tetap saja jarang muncul reel saya saya nyatakan tertarik, tolong diberikan fitur yang lebih luas lagi tentang kelola preferensi konten agar kita bisa menemukan reel yang kita sukai. Tolong tanggapi hal ini 🙏🏿",2,Negative
"Kok makin parah sih Instagram setelah di update, mau upload video reels aja nunggu sampai 1 jam masih stuck di 90% padahal uda habis data 500MB lebih, sementara ukuran video hanya 90MB... Koneksi juga lancar. Coba aja di Facebook durasi reels nya 180 detik pasti lebih milih upload di Facebook karena lebih cepat...",1,Negative
"Bagus, cuman aneh bgt aku mau ganti foto sorotan pake foto yg di galeri ga bisa kaya loading gitu, padahal jaringan aku bagus, terus kalo mau post foto mau nya yang sound bentuk bulat gitu cuman ga ada, padahal di hp temen temen ku ada, sampe aku apus terus aku download lagi tetep sama, pas aku coba di akun ku yg 1 nya bisa sedang kan di akun utama ga bisa. Dan mengapa fitur versi gelap nya tidak ada mata saya suka sakit kalo pake yanb putih. Tolong di perbaiki lagi 🙏🏻",3,Neutral
"Instagram makin kesini makin bagus tapi tolong di upgrade kalo mau up Poto pake lagu tambahin waktunya 30 detik😭 jangan maximal 15 detik, dan kadang ada bug juga lirik dari lagu nya ga jalan tolong di perbaiki developer...",5,Positive
"Tolong untuk fungsi rekomendasi pertemanan di profil user. Kalau usernya sudah menonaktifkan tombol rekomendasi pertemanannya, jangan muncul-muncul lagi dong. Ini setiap masuk lagi ke IG pasti masih tetap muncul di profil, jadi apa gunanya tombol nonaktif pada menu setting kalau setiap saat masih harus mencet manual lagi di bagian profil?",4,Positive
"Sejak diupdate instagramnya jelek bgt. Filter yg sudah digunakan tidak ditemukan lagi padagal filternya bagus, story instagram tidak bisa di zoom lagi, arsip story ada yang hilang padahal selalu diarsipkan>>> harus di bikin sorotan dulu agar arsipnya tidak hilang🫠 Tolong diperbaiki yaaa. Gak enak bgt dipakainya🙏🏻🫠🫨",3,Neutral
"Aplikasi-nya semakin nggak jelas. Mulai dari bingkai postingan yang jadi 4.3 dan masalah reels! Reels selalu loading & hanya menampilkan thumbnail saja. Video reels tidak berjalan dan macet, Padahal jaringan lancar dan aplikasi lain berjalan dengan normal. Perbaiki lagi.",2,Negative
"Instagram semenjak di update semakin banyak bug nya, seharusnya kan bisa pasang musik di bio profile kita, tapi di saya ga ada opsi nya. lalu kalau saya mau post story ig, pas saya mau pasang lagi, lirik nya ga bergerak, kayak stuck gitu. tolong yaa pihak Instagram untuk segera perbaiki...",2,Negative
"bagus sih tpi akhir akhir ini dapat dipastikan klo selesai buat story di Instagram pasti di arsip ceritanya itu ada tulisan cerita tidak tersedia itu kenapa ya klo misal itu bug atau apa mohon di perbaiki, saya suda mengunakan aplikasi ini dari lama dan baru² ini saja muncul masalah tersebut. Jadi mohon diperbaiki",3,Neutral
"salah satu platform sosial media yang bisa digunakan untuk berbagi foto/video (stories, reels, igtv) yang menghibur. para pengguna dapat mencoba banyak filter/efek menarik dan menggunakan aplikasi ini untuk bisnis dan promosi. namun yang menjadi kekurangannya ialah algoritma terkadang membuat konten kurang terlihat tanpa iklan, masih terdapat byk akun palsu sehingga pengguna harus lebih berwaspada, filter/efek dan arsip byk yg hilang, serta fitur matikan tanda baca yang responnya cukup lambat.",3,Neutral
"Menurutku apk Instagram udah oke banget ditambah update-an terbarunya, cuman mungkin kadang ada bug ntah itu upload foto atau upload story tiba-tiba hilang lagu, but kayanya itu karna kita yang mungkin belum update ya..?? jadi buat yang ngomel-ngomel kalau Instagram kehilangan ciri khas atau makin burik, hei that's wrong. Mungkin kamu yang belum update, don't blame the application okey? Stay positive for ur self n this apk💗.",5,Positive
"assalamu'alaikum kak, aku pengguna Instragram, aku sudah sangat puas sekali dengan menggunakan Instragram aplikasi nya sangat keren dan wah bangt, untuk komunikasi udah sangat good, nah jadi aku mau itu kak tolong perbarui instagram lagi yaa kak masalah itu loh lagu yang di sorotan biasanya kan ada tulisan ""audio sudah tidak tersedia"" nah gitu kalo itu kan jadi gak estetik nah tolong perbarui agar bisa ganti lagu lagi kak yang masih tersedia gitu loh kak, terimakasih kak 😊, wassalamualaikum",5,Positive
"kenapa pas ganti sampul foto story sering banget memuat, padahal udh restart hp, hapus cache tetap aja. pas nonton reel juga komen nya selalu gada padahal disitu lebih dari 100komen, pas like reel kadang ngga bisa juga harus keluar dulu",2,Negative
"hai Instagram tolong dong kenapa saya ga bisa melihat video reels dan musik di Instagram ya...hanya bisa melihat postingan foto aja itupun musiknya tidak terdengar, setiap akun kayak begini saya sudah melakukan berbagai cara tapi kenapa begini terus yaa tidak ada perbaikan. Mohon diperbaiki di update selanjutnya terimakasih",2,Negative
"Instagram ini kenapa sih, aneh.. Aq punya 2 akun, akun lama ga bisa ditambahkan musik jika post foto.. Tapi akun satunya masih bisa.. Kenapa bisa ga sama gitu, padahl pake hp sama,e-mail jga sama.. Tolong jangan hilangkan tambahkan musik, di postingan foto.. Thx 🙏",4,Positive
"pliss dehh, ig makin kesini makin ngeselin. kenapa coba foto atau story yg ada di arsip tidak tersedia terus menerus. tiba tiba bngt ada kendala teknis dan ig gabisa ngatasin masalah,terpaksa story di arsip ga tersedia dan tidak dapat dipulihkan lagi, hadeehh",1,Negative
Hai Developer Instagram. Bisa kah kalian menambahkan fitur arsip chat di ig dan diberi sandi untuk akses arsip chat tsb. Sy ingin ada fitur tsb agar privasi lebih terjaga. Udah sih itu aja.. Semoga dpt di tindak lanjuti yak.. Thanks ☺️,1,Negative
"Instagram, tolong perbaiki performa kameranya! Buka kamera Instagram aja lemot banget, padahal mau langsung foto. Ini ganggu banget kalau lagi mau cepat unggah momen. Tolong juga kembalikan filter-filter keren yang lama, yang sekarang kurang menarik. Fitur font-font aneh juga bikin ribet, mending dihilangkan saja. Fokus perbaiki performa kamera dan kembalikan filter lama, itu yang paling penting!",1,Negative
"saya pengguna aplikasi ini sudah lumayan lama. semakin kesini semakin membingungkan. tapi yang paling sering adalah, tampilan DRAF seringkali menghilang. saya tipikal orang yang foto disimpan di DRAF dahulu, dikarenakan DULU, DRAF bisa menyimpan foto/video selama ±7 hari. tapi sekarang belum sempat saya simpan, tampilan DRAF tiba"" menghilang. otomatis foto"" yg saya simpan sementara di DRAF juga ikut menghilang. saya sangat"" kecewa. saya harap segera diperbaiki untuk masalah DRAF ini.",3,Neutral
"ig kdang kenapa klo buat bikin story gbisa selalu terjadi kesalahan! trus klo up foto dari galeri sudah hd kalo di ig gak hd! trus kalo story diarsipkan kdang menghilang kdang muncul lagi,stres!",1,Negative
"Instagram payah,saya Sudah transfer untuk iklan ,disuruh perbarui batas pengeluaran untuk menyelesaikan promosi,terus ada keterangan account spending limit batas belanja akun 0,batas pengeluaran 16.435 ( saya sudah transfer sebesar 16.435 untuk mencoba jualan mengunakan jasa iklan) tapi malahan tidak bisa digunakan uangnya untuk iklan !!!!",1,Negative
"Instagram, kenapa makin ke sini makin mengecewakan sih? Slide foto pertama normal, slide selanjutnya auto nge-crop parah. Ukuran postingan juga makin aneh, bikin males banget posting. 😩 saya sudah siapkan beberapa foto untuk dipost dengan ukuran yang sama tapi slide berikutnya selalu nge crop",1,Negative
"Baru update nih, pas gua buka video yang di story pada Ngefrezee semua, gak bisa ganti lagu di postingan walaupun lagu sebelumnya udah hilang ke take down ato dihapus sama instagram. Tolong di perbaiki deh secepatnya, mengganggu banget",1,Negative
"Min tolongg dongg ini kenapa yaa aplikasi nya gabisa di buka? selalu kembali kembali & ada tulisan tutup aplikasi, trus waktu udh ku hapus aplikasi & udh login akun awalnya bisa,tapi agak nntii pasti seperti itu lagi, gabisa di buka,selalu keluar keluar lagi TOLONG DONG TEMEN TEMEN INI KENAPA YAAA🥹",1,Negative
"Ig semenjak update menjadi banyak bug nya salah satunya tidak bisa memfollow akun sosmed siapapun dan bug ini sangat mengganggu, semoga cepat di perbaiki bug dan untuk sementara bintang 1 dulu kalau sudah tidak ada bug saya tambah 4 bintang.",1,Negative
"jadi ribet banget instagram sekarang , akun terkunci , mau login harus verifikasi dulu ke nomor yang sudah tidak aktif , padahal email masih bisa di gunakan , yang login padahal diri sendiri , hasilnya bermasalah di perangkat lainya , pusat bantuan ga bisa menyelesaikan masalah ,",2,Negative
"Aplikasi Instagram. "" Keren dan Top"" sangat disarankan untuk berbagi info ,foto,video,dll. Apalagi satu akun bisa bersama facebook dan baru2 ini Thread..bisa lebih luas jaringannya, untuk saling terhubung secara Global. Info keamanannya juga ok.😍🤎❤️💜🙏 Insgram",5,Positive
Aplikasi sudah bagus. Tapi mohon untuk ketika keluar sebentar dari aplikasi selalu feed atau reel di beranda reset setiap kali keluar sebentar. Saya harap ini bisa dibenahi karena ada beberapa momen menarik dan penting tetapi sering terkena reset ulang saat keluar sebentar🙏,4,Positive
Update terbaru kemarin beberapa postingan lagunya dihilangkan.. lalu ketika ingin menambahkan lagu di menu edit postingan malah ga bisa jadi mohon sekali kepada pihak developer untuk memperbaruinya 🙏🏻 Dan di permasalahan preview postingan juga di stabilkan 🙏🏻,5,Positive
"apaan coba tambah update malah ada beberapa yang hilang, kyk lagu yang di profil ku padahal awalnya ada eh pas di update malh hilang tapi diakun orang lain malh ada, trs sama membagikan catatan lagu di profil gk bisa nyari sendiri bisanya yang ""untuk anda"" doang apaan banget coba😒, DISLIKE BANGET.",2,Negative
"Semenjak di update makin kurang puas, karena beranda Instagram ngga menampilkan account yang kita follow saja tapi ada saran acount yang tidak kita follow muncul di beranda dan itu mengganggu sekali. Ngerasa ngga ada bedanya bagian beranda dan reels karena sistem beranda yang tidak seperti dulu.",1,Negative
"Dear developer, tolong ini bug instagram (tiba-tiba aplikasi terbuka sendiri tanpa di sentuh sama sekali aplikasi maupun notifikasinya) tolong segera di fix kan masalah bug ini karena sangat mengganggu. terimakasih",2,Negative
"aplikasi ini sudah sangat berubah sekarang, sekarang aplikasi ini sudah terlalu banyak membongkar privasi, seperti bisa melihat siapa yang sering membuka story kita, dan ketahuan ss pada saat vanish mode (saya tidak masalah dengan ss), mohon hilangkan fitur dimana yang sering melihat akan tertampil paling atas di story 🙏",2,Negative
"tiap di buka aplikasinya selalu keluar padahal jaringannya bagus dan oke² aja kalo buka aplikasi yang lain, dan juga kalo mau masuk Instagram harus di update berulang²kali padahal sudah saya update tapi tetap sama saja, saya kasih bintang lima biar makin semangat memperbaikinya",5,Positive
"sebenarnya udah bagus si yang biasa nya tapi malah dipake untuk update yang gajelas, update nya ga merata keseluruh akun lagi, kayak : di akun ini udah ada fitur komen di story, tapi di akun yang lain belum ada, dll sebagainya untuk tambahan, untuk update kedepannya saya harap kalian bisa panjangin durasi song note di Instagram, ratain updatenya di seluruh akun, dan saya harap ada tombol repost di reels maupun postingan",4,Positive
filter nya kurang banyak mana lagi paas kita cari nama nama filter nya gak ada coba update kali ini banyak filter Instagram memakai nya kalo banyak kan lebih seru karena bisa pakai yang lain lain pas di cari nama filter nya pasti selalu gak ada. tapi aplikasi nya bagus,5,Positive
"ni aplikasi sering bgt bug deh, udh 3 hari liat sg pas diketuk disisi samping kanan/kiri malah kejeda bukannya ganti ke slide berikutnya dan itu bener"" gabisa ke play lagi sg nya walaupun udh di klik lagi, udh di uninstal, apus data dll masih bug aja, aneh bgt jadi males buka ig tuh.",1,Negative
"Bisakah saya sedikit komplain... Instagram adalah fitur interaksi sosial terbaik menurut saya, tapi setelah beberapa update terbaru, saya sedikit mengalami masalah. Ketika saya ingin memperbarui profil highlight saya itu tidak berubah sama sekali dan hanya load terus menerus, sudah saya coba beberapa kali, tapi tetap tidak bisa. Overall, semuanya bagus. Terimakasih, kedepannya semoga menjadi lebih baik lagi.",3,Neutral
"bagus,sangat bagus saranku semoga postingan yang dilampirkan musik dan sudah diposting bisa diganti,misalnya foto kit posting pakai lagu fix you dan sudah 1 bulan itu postingan foto kita,terus kita mau ganti ke lagu yellow nah gitu kak cuma gak bisa,makasih kak sukses selalu untuk instagram dan makin jaya.",5,Positive
"Aplikasi nya sudah bagus tapi sgt disayangkan seperti Rell² yang mengandung unsur pornografi terutama dari pengguna wanita terkhususnya, apabila tidak dicari Rell² itu akan sangat mudah sekali keluar di beranda pengguna lain yang mana itu sangat menggangu psikologis kami sebagai lelaki,kami mudah sekali terperangkap oleh hal semacam itu sehingga kami kepo dgn akun tsb.. harapan saya kedepannya rell² berbikini dan semacamnya di blokir saja dari Instagram",2,Negative
"makin di update malah makin ancurrr, postingan video ga bisa di play (ngefreezz) gimana solusinya???? padahal sinyal kenceng, udh logout akun trs login lagi tapi tetep gada respon??!!!",2,Negative
instagram sekarang lama2 makin menyebalkan. ngga diupdate tulisannya menyamping sampe ngga bisa kebaca. mana update bisa 5 kali dalam sebulan. apaan aja sih yg diperbarui. perasaan sama aja fitur2nya ngga ada yang berubah,1,Negative
"Akun utama saya tadinya bisa buka komentar hanya setengah gambar saat melihat postingan di beranda dan bukan REELS biasanya pada saat setelah mencet caption itu keluar komentar, tapi sekarang sudah tidak muncul lagi komentarnya jadi harus mengklik logo komentar yang membuat seluruh layar tertutup dengan komentar, tetapi masih normal di akun ke-2 TOLONG SEGERA DI FIX KARENA SAYA SANGAT TERGANGGU KETIKA INGIN MELIHAT KOMENTAR!!!!! DAN JUGA SAYA TELAH MELAPORKAN BUG KEPADA IG TETAPI TIDAK BERUBAH",1,Negative
"Sudah punya dari lama, everything works just fine, tapi tiba tiba kemaren gabisa lihat mentionnya akun lain. Malah muncul ""Tidak dapat memuat ulang kabar beranda"". And i've tried everything, udah ku hapus terus re install, terus aku log out, matiin pulsa, matiin daya, aku update malah cuma akun 2nd yang kepake, bukan akun utama. Dan yang bisa ngelihat mentionnya orang lain cuma di akun kedua. Kayanya akun pertama malah ga ke update. Tolong IG's team fix this issue....",3,Neutral
"Semenjak update bukan nya makin bagus malah makin parah dan banyak problem , saat lihat video reels dan ingin like,comment,share,video ada suara getaran yang sangat menganggu sebelum update tidak ada suara getaran , tetapi setelah update muncul getaran dan pihak Instagram tidak memberikan opsi untuk menonaktifkan atau mengaktifkan suara getaran sehingga itu sangat membuat pengguna merasa terganggu dengan adanya fitur suara getaran saat ingin like comment dan share video di Instagram.",1,Negative
"Halo tim Instagram, Saya tidak bisa mengakses Pusat Akun. Saat saya coba buka, muncul pesan ""Something went wrong, please try again later"" meskipun saya sudah memperbarui aplikasi, mengganti jaringan, dan mencoba dari perangkat lain. Mohon bantuannya untuk memperbaiki hal ini. Terima kasih.",4,Positive
"Untuk instagram .. untuk fitur yang skrg udah bagus bgt ..dan ayo teruslah banyakin lagi fitur² baru yang bagus² biar saya betah main ig ..semakin byk update diperbarui lagi lebih modern, buat yg ingin instagram yg basic ..itu mah udah kuno bgt ..jaman skrg jangan cuman foto² doang ..filter jg di banyakin musik audio jg udah bagus bgt👍",5,Positive
