content,score,label_sentiment
oke mantab lur,5,Positive
update dari sini aja,5,Positive
ok,5,Positive
im grateful,5,Positive
mantap,5,Positive
sering update doang tapi masalah bug ga di benerin,1,Negative
"saya ga bisa masuk ke akun saya karna harus melalui perivikasi lewat no hp yg sudah mati, kenapa tidak lewat email saja?.",1,Negative
sangat luar biasa kepada Instagram yg sangat membantu sekali dalam mengabdi kan momen dan dapat berbagai tentang kegiatan kita kepada teman dan dapat berbagi cerita,5,Positive
"sangat buruk, saya merasa sangat dikecewakan, support center pun sama sekali tidak menanggapi keluhan orang² yg terkena penonaktifan akun berdasarkan perkara yg tidak jelas, buruk sekali",1,Negative
BALIKIN FITUR TAG NYA!!!!,1,Negative
"Instagram sekarang makin jelek serius, terjemahan udh gak akurat lagi, kadang gak muncul,gatau privasi banget, screenshot aja ketahuan. haduh udh ngelag mulu, cakepan versi dulu deh",1,Negative
"Aku suka sama aplikasi instagram,suka banget karna banyak filter yang lucu lucu",5,Positive
"akun aku di nonaktifkan tnpa ad masalah ngk jls bnget pihak Ig nya,💩👎👎👎👎👎👎",1,Negative
top,5,Positive
kenapa gak bisa d buka Instagram nya,5,Positive
"gagal login karena lupa kata sandi, mau reset malah aplikasinya error mulu.",1,Negative
ok,5,Positive
saya menyukai aplikasi ini,5,Positive
bagus tentang rea lnya dan kita mudah mendapatkan teman lama,4,Positive
bagus,4,Positive
💋,5,Positive
"Gue salut bnget sama Instagram. Bisa²ya ngasih centang biru ke akun yang kerjaannya nipu. Udah kayak badge penghargaan buat penjahat. Bikin makin gampang cari korban, makin pede nipu orang. Aplikasi sejuta kepercayaan? Iya, tapi cuma buat para penipu. Buat yang mau jadi penipu sukses, langsung aja daftar centang biru di Instagram! Auto dipercaya, auto dpt korban, auto tajir. Gak usah takut, Instagram support banget. Korban lapor? Slow aja, gak bakal ditindak kok. Penjahat peringkat 1 di IG",1,Negative
hmm bagus,5,Positive
mengapa saya tidak bisa membuat story??,1,Negative
good,5,Positive
tiba tiba akun disuspend,1,Negative
error mulu perasaan,4,Positive
mantapp,5,Positive
bagussss banget,5,Positive
asik,5,Positive
Apk nya ga kaya dulu. Fitur nya malah jadi minus,5,Positive
good,5,Positive
kren,5,Positive
tahu isi ayam,5,Positive
"bagus tapi tolong dong bukakan fitur hadia saya,saya sudah patuhui aturan ya apa yg kurang,akun saya sudah profesional.",5,Positive
Khanza,3,Neutral
ok,5,Positive
perbaruin ya,5,Positive
memuaskan,1,Negative
Sangat bagus kualias lagii,5,Positive
keren puol,5,Positive
sangat bagus...,5,Positive
good,5,Positive
"semua bagus sihh , simple , mudah",5,Positive
aplikasi ini sangat membantu saya,5,Positive
Encis Siswanto,5,Positive
top konjos gandos,5,Positive
"mudah digunakan, sudah banyak menu baru. bisa untuk branding",5,Positive
WOW AKU SUKA SEKALI OMAGAAA JANN LUPA FOLLOW IG AKU YA YGS,5,Positive
buaguss,5,Positive
bujangg enam,1,Negative
tidak worth it di sg banyak org bucin 👎🏻,1,Negative
buatt DM cwe,5,Positive
bagusss,5,Positive
baguss,5,Positive
sangat menginspiratif dan menghibur sekali dari tayangan video nya,5,Positive
sangat bagus sekali,5,Positive
instagram terbaik,5,Positive
Bagus,5,Positive
bagus tp suka nge freze sndri,5,Positive
sukses trus,5,Positive
"kok catatan orang-orang ga muncul sih ke saya, udah beberapa hari loh!",4,Positive
nice,4,Positive
"Adain fitur dong yang bisa di liat atau keliatan siapa yang nge unfollow akun IG, biar bisa di Unfollow back wkwk enak ajah abis follow trus unfollow lagi. 😣🙈😅🙏🏻🤓✌🏻",4,Positive
bagus mantap keren,5,Positive
aplikasi ini mantap,5,Positive
menarik..,5,Positive
Seminggu sekali ini aplikasi di upgrade kan gak jelas buang buang kouta,1,Negative
🙏👍,5,Positive
good,5,Positive
sangat bagus,2,Negative
"tolong diperbaiki dong masa saya mau ganti akun dari privat ke publik gabisa harus minta persetujuan orang tua? ini gimana? mau ganti tanggal lahir juga begitu, jadi bingung, masa smua"" harus berkaitan dngn orng tua, padahal hanya mau alihin akun privat ke akun publik lo",2,Negative
temen temen saya udh update jadi lebih bagus tapi pas saya udah update ttp gaada fitur seperti temn saya,3,Neutral
mantap,5,Positive
fitur komentar cerita instagram tidak ada di akun pertama,1,Negative
"Ini kasusnya udah lama tapi sampai sekarang masih belum ditanganin, gimana sih, buat sharing story aja ada kesalahan terus, disappointed!",1,Negative
"Goodjob instagram,👍👍",1,Negative
"Kenapa sih instagram di hp aku gabisa login aja, dah tiga hari NGEBLANK warna putihh tolong d benerin, pdhl hp saya ga kentang² amat realme C2",1,Negative
🔥,5,Positive
keren banget,5,Positive
mantap,5,Positive
sangat memuaskan fitur fitur,5,Positive
good,5,Positive
bagusss,5,Positive
"Aplikasi dengan tampilan elegan, fitur lengkap, dan terus berkembang. Instagram jadi senjata utama buat branding & bisnis online👍",5,Positive
napola agak beleng saotik app nai,3,Neutral
sangat menarik,2,Negative
mantap,5,Positive
sangat membantu,5,Positive
𝐛𝐚𝐠𝐮𝐬,5,Positive
saya tidak bisa memperbarui apk ini,2,Negative
lama download nya,1,Negative
apa bagus,5,Positive
mantap,5,Positive
"di playstore saya tidak tersedia meng update aplikasi Instagram, bisakah dibantu?? saya mohon dengan sangat!!!",5,Positive
kudu nyieun aku wae,1,Negative
tidak sesuai dengan ekspektasi,1,Negative
"good,...😘",4,Positive
menyebalkan susah dibuka,1,Negative
aplikasi menarik untuk mencari teman dan pasangan,5,Positive
bagus,5,Positive
"Kenapa suka membuka aplikasi sendiri ya? overall fungsi app bagus, tapi suka membuka sendiri",3,Neutral
kenapa sekarang Instagram tidak bisa di follow # hastag nya? fiturnya hilang. kadang-kadang Instagram orang lain yang kita follow itu muncul apa yang orang lain postingan sangat tidak nyaman dan saya rasa itu tercampur dengan apa yang kita follow mohon dihilangkan postingan yang tidak kita follow di Ig kecuali yang di follow terima kasih.,1,Negative
gue udah bikin akun atau nomor telepon tetep gabisa ah lama lama malasaku,1,Negative
good,5,Positive
buat lagu di bio ig tidak bisa,4,Positive
Saya kasih bintang 1 karena Instagram gak mau kasih aku Mengfollow akun Instagram orang lain jadi saya tidak bisa lagi Mengfollow akun Instagram orang lain,1,Negative
kenapa login harus pakai email dan no wa sedangkan pasword nya bener,1,Negative
Apk yang sangat bagus perfeck,5,Positive
cepat,5,Positive
tolong tambahkan catatan di ig kayak dulu lagi,4,Positive
bagusa sekli,5,Positive
sangay bagus mempermudah untuk komunikasi,5,Positive
kenapa Instagram sangat sulit di download menginstal Mulu saya jadi merasa Instagram tidak bagus karna itu tapi fitur dan filter nya sudah bagus bagus,3,Neutral
KENAPA APLIKASI LO SEKARANG BANYAK IKLAN JUDOL NYA???,1,Negative
mantab,5,Positive
mantap,5,Positive
lumayan,3,Neutral
apk nya bagus,5,Positive
nice,5,Positive
aplikasi ini sangat bagus sangat membantu saya,5,Positive
tiba tiba banget hilang follow setelah di update maksudnya gimana ya?,2,Negative
kerennya,5,Positive
mantap,5,Positive
Maasyaa allah barakallah,5,Positive
bagus,5,Positive
gak bisa di status,1,Negative
good,4,Positive
"Kok Sekarang Ga Bisa Mentranslet Bahasa Lain Ke Bahasa Indo... Kemarin Kemarin Bisa, Tapi Kok Sekarang Ga Bisa",4,Positive
goodjobss,5,Positive
bagus bgt tpi kurang filter atau efek nya diperbanyak biar bisa pas offline bisa pake filter itu + filternya diaesthetic in lagi biar sama kayak tiktok mukatu glowing alami jdi bagus filternya nyatu ke muka jdi sma in aj sma filter di tiktok yaa nnti bakal tmbah bagus koo mksh,4,Positive
bagus banget,5,Positive
gabisa di buka,2,Negative
akun gua di nonaktifkan terus ngntt cape bikin akun udah banyak followers malah ilang akun nya aplikasi kocakkkkk,1,Negative
makin lama makin..... BGS BANGET GILA SIH INSTAGRAM SEKARANG,5,Positive
"aplikasi tholol,masak abis di update langsung erorr bacaaan ny beranda tidak dapat dimuat padahal data saluler hidup apus aj aplikasi ny begok",1,Negative
"saya nggak tau apah kesalahan saya tiba² aku saya ditangguhkan dan malah dinonaktifkan nggk cuman itu akun FB saya juga dinonaktifkan tiba²,tolong kah diberi kenapa dan apah alasannya,kecewa banget punya akun dari SMP hilang tiba²",1,Negative
Tolong adakan fitur siapa saja yg ngeunfollow kita,5,Positive
keren,5,Positive
baguss,5,Positive
mantap 👍👍,5,Positive
"tolong lah ini ig kenapa,dulu ga kaya gini. masa aku mau pake template gabisa,padahal dulu gaada masalah nya,tapi akun temen ku yg lain pada bisa ini gatau gmn,yg tau plis kasih tau",2,Negative
sangat keren banget mudah digunakan.,5,Positive
Bagusss,5,Positive
bgus,5,Positive
good,5,Positive
woah akh sangat suka sekalih,5,Positive
Bagus sekali tapi,5,Positive
mantap,5,Positive
Saya sangat sakit hati dengan keputusan instagram karena akun saya di nonaktifkan dengan alasan yang sangat tidak jelas dan saya ingin membuat akun baru tapi kenapa tidak bisa tolong diperbaiki lagi dan tolong kembalikan akun saya yang bernama rrrisqqqi,1,Negative
useful application,5,Positive
BABI,5,Positive
good joob,5,Positive
keren,5,Positive
mantap.,5,Positive
gmpng lag eror,1,Negative
bagus banget aplikasinya,5,Positive
good,5,Positive
sangattttttttttt bgusssss,5,Positive
sangat membantu ❤️👍👍,5,Positive
good,5,Positive
bagus banget,5,Positive
bagussss kokk,4,Positive
mantep,5,Positive
akp burik ngak bisa bikin akun,1,Negative
Bagus,4,Positive
Alhamdulillah,5,Positive
"sebelumnya aku bisa bikin atau ganti ganti lagu, tp skrg kok ga bisa!? mau ku edit lagu nya di ""edit profil"" malah gada, tapi pas ku coba di sec aac kok bisa? ini ngebug ape gimane? udah gitu setiap bikin sg malah jadi gepeng? update nya doang yang gede tapi perubahan nya gada! malah makin rusak! mohon dong perbaikan nya!!",1,Negative
ᴀᴋᴜ ᴋᴀsɪʜ ʙɪɴᴛᴀɴɢ sᴀᴛᴜ ᴋᴀʀᴇɴᴀ ɢᴀᴋ ʙɪsᴀ ᴅᴀғᴛᴀʀɪɴ,1,Negative
Efek ny kurang,5,Positive
sangat berguna dan bagus🤙🤘🤘😁,5,Positive
keren,4,Positive
apk nya sangatt menarikkk,5,Positive
Istagram adalah media sangat bermanfaat,5,Positive
sangat puas,5,Positive
Mengesankan,5,Positive
Sangat bgus sekali sih apk ini saya sudah lama menggunakan nya top bnget sihhh,5,Positive
"saya suka pelayanan nya ,sangat bagus ,makasih yah udah buat hari hari saya. bahagia",5,Positive
baik,4,Positive
bagus,5,Positive
Sangat membantu sekali,4,Positive
Sudah saya uninstall,1,Negative
Bagus aku suka tapi ga suka banget 😁,4,Positive
terbaik,5,Positive
oke,5,Positive
mantap,5,Positive
Aplikasi ini sangat membantu,5,Positive
suka sekali dengan ini,5,Positive
👍,5,Positive
sangattt lah menyenangkan.....,4,Positive
"Give me an additional option on my settings to hide the reels feature. I wanna protect my life and wellbeing. Instagram supports the community's wellbeing, right?",2,Negative
sangat membantu sekali,4,Positive
keren banget!!!!!,5,Positive
"you guys banned my account, i don't do anything. my account already 12 years old. i don't get it. your product is worst. i follow you guys since you're startup. unbelievable. i guest this is the end of the instagram.",1,Negative
"mau ganti sampul sorotan gabisa padahal jaringan kuat, Ig bosok",1,Negative
nice,5,Positive
bagus,5,Positive
Bagus sekali broo. Tapi hp gue ram 2 ngelek²,5,Positive
Gak seneng,5,Positive
mantap banget,5,Positive
jelas dan terpercaya dan lancar,5,Positive
mantap,5,Positive
stop mengisi beranda dengan konten porno,1,Negative
keren,5,Positive
"Instagram aplikasi nya sensitif banget ga bisa login ke akun sendiri padahal udah di cek kalau kata sandi nya bener tapi tetep aja sistemnya bilang kata ""sandi salah"" berulang ulang gitu, terus akun ku juga dikit² ke banned",1,Negative
sangat bagussss,5,Positive
lumayan lah .,5,Positive
mantab,4,Positive
Tolong dong bisa posting ulang reels gitu. Kadang related gitu loh.,4,Positive
sangat bagus,5,Positive
seru aja,5,Positive
mantap,5,Positive
is the best,5,Positive
aplikasinya bagus . tapi tolong tambahin jj di aplikasi,1,Negative
gak iso di buka,1,Negative
tidak bisa mendaftar akun saya sudah capek pun gak bisa bisah,1,Negative
"saya menelepon teman saya tdak bisa, tiba saya tes nlpon ke teman saya yg satu nya ternyata bisa, ada apa ni instagram, tolong lah di perbaiki lgi aplikasi nya",1,Negative
Gak ada musiknya mbuh mumet aku ndlogok instagram edan,1,Negative
Sangat membantu,5,Positive
sangat bagus,5,Positive
"Harus tambah waktu untuk musik""a",5,Positive
Tidak biasa simpan filter tiktok,3,Neutral
seruuuuu,5,Positive
mantap dan puas pelayanannya,4,Positive
Lebih bagus,5,Positive
aplikasi ini sangat indahh,5,Positive
keren,5,Positive
lngsung jadi tidak,5,Positive
"terima kasih, sangat membantu untuk jualan mencari rejeki🤗",5,Positive
apk nya bagusss,5,Positive
seru,5,Positive
sangat bahagia.😍😍😍,5,Positive
ok,5,Positive
kenapa efek nya hilang semua,1,Negative
Instragram bagus tetapi kalo bikin video suka ga pas jadi kadang suka ngelek dan ga bisa Velocity,3,Neutral
👍👍👍🔥,5,Positive
oke,5,Positive
kerennnnnnnn topp😍,5,Positive
bagus dan baik selalu,4,Positive
makin ribet instagram sekarang untuk bagian bisnis & periklanan !,1,Negative
🤙🏻,5,Positive
dia bagus banget,5,Positive
lumayan sih cuman kalo pertama download pusing banget cara bikin akun nya aku juga bikin aku nya sampai satu jam setengah,4,Positive
matap,5,Positive
membantu mengembangkan bisnis online,5,Positive
ok,5,Positive
mantap,5,Positive
good,5,Positive
👍👍👍👍👍👍,5,Positive
Oke sih bagus,5,Positive
kak kok filter Instagram saya hilang,4,Positive
sangat suka dengan Instagram ini,5,Positive
Bagus,5,Positive
"akunku tidak bisa login padahal sandi udah bener,harus autentikasi terus itu akun lama lupa email sama no telepon nya",1,Negative
di aku gk bisa cari filternya😾,1,Negative
mantap,5,Positive
aplikasinya bagus banget dan juga bisa foto dan liat video lainnya aku sangat suka☺️🫶✨,5,Positive
kenapa yah pas di cari pilter nya ko ngk ada mohon kebijakannya aku kasi bintang 2,2,Negative
sangat bagus,5,Positive
keren abis,5,Positive
"GK paham lgi sama Ig kebanyakan errornya, masa mau baca caption malah muncul bacaan ""reels tidak tersedia"" makin gajelas Ig sekarang, update maunya sering"" tapi apk ngebug mulu",1,Negative
sangat bermanfaat,5,Positive
ini sangat menyenangkan 😍,4,Positive
banyak vilter yang hilang,1,Negative
ok,5,Positive
apk nya memuaskan😍,3,Neutral
Sangat seru mempunyai instagram,3,Neutral
bagud,5,Positive
tolong di apus bug pesan gagal mengirim,5,Positive
semoga bisa menghasilkan uang,5,Positive
suka bangettzz,5,Positive
"aplikasi bagus, menarik untuk dilihat juga",4,Positive
keren abissssss,5,Positive
tolong dong akun saya kena menunggahkan Mulu setiap bikin ini saya coba mau bikin ulang tolong ya Instagram,2,Negative
best,5,Positive
mantapp pollll,5,Positive
aplikasinya bagus,5,Positive
Hallo instagram saya dibatasi tolong segera diperbaiki🙏,2,Negative
Cara mengaupdate bagaimana ... Dan ini instagram yang ku pake yang versi lama... Kaya gimana cara update nyaa.... Aku tanyaa..?,1,Negative
bagus,5,Positive
"plis ini Instagram lagi Erro ya??? kadang tiba tiba lagi main atau buka aplikasi lain kaya yutub or tiktok, tiba tiba malah masuk ke aplikasi Instagram????? apalgi aku ulangan kn di handphone, eh pas ngerjkn malah tiba tiba masuk aplikasi ig, kek.. whyy??? jadinya aku ga bisa ngrjkn ulgn gara gara teisolir karna tiba tiba pindah ke aplikasi lain... tolong responnya dan diperbaiki ya plis.. aku kesel jadinya, atau hp aku nya yang ngebug??",4,Positive
bagus,5,Positive
bagus,5,Positive
INSTAGRAM UNTUK MEMPOSTING KENANAGAN MASA LALU DAN HIBURAN...,5,Positive
Awesome,5,Positive
baik,5,Positive
not wise to give recommend,1,Negative
baik,5,Positive
sangat bgus,5,Positive
"coba di fitur edit postingan itu bisa nambahin foto baru, jadi ga cuma hapus foto aja tapi bisa nambahin foto baru juga",4,Positive
aplikasi yang menyenangkan,5,Positive
baik dan bagus sangat membantu,5,Positive
sangat bermanfaat,5,Positive
aplikasi ini sangat bagus durasi nya💯🎀,5,Positive
good,5,Positive
bagus,2,Negative
baguss apk nya,5,Positive
Bagus sekali untuk dijadikan sebagai konten yang terkait dengan android 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😆,5,Positive
bagus...,4,Positive
good,5,Positive
asikasikasik,5,Positive
bagusss...,5,Positive
aplikasi ini sangat bagus kalau Kita tidak ada WA kita telpon lewat ig,5,Positive
keren,5,Positive
good apk👍,5,Positive
recommended. keren,5,Positive
keren,5,Positive
rawwwww,1,Negative
"bagus,menarik",5,Positive
mendapat pelanggaran serta tidak bisa melakukan follow atau follow back padahal saya tidak pernah melakukan pelanggaran itu,1,Negative
bgus,5,Positive
Sangat membantu sekali 🤠🥳🤩🙏,5,Positive
bagus sekali,5,Positive
baguss berkopenten midah mnegakses,5,Positive
akhir ya bisa Ambi foto kerus ku di ig,5,Positive
benci karna ga bisa di publik kan dulu bisa kenapa sekarang engga benci!,1,Negative
jelek,5,Positive
5 Bintang,5,Positive
"KO GUA GABISA BUAT SALURAN SIHHH, GA ADILL BGTT",2,Negative
👍🥰🥰🥰,5,Positive
good,4,Positive
menyenangkan,5,Positive
kenapa foto yg diarsipkan tidak ada tolong lah perbaiki apk yg bnr,1,Negative
bagus sih tapii...... Daftar nya susah harus Kaka aku yang daftar in,4,Positive
"Aplikasi sudah ok, coba tambahkan fitur laen nya",5,Positive
GA BISAA NGE REPOST SNAPGRAM TMN YANG NGETAG KITAAAAAA!!!!!!!!!!!!!,1,Negative
Aplikasi nya bagus cuman efek kamera nya gbisa di gunakan mohon di perbaiki lagi makasih,4,Positive
bermanfaat,5,Positive
bagus👍,5,Positive
media sosial segala usia,5,Positive
gak filter apa2 aja yang hilang sama ngebug terus capek dedek bang 🤧🤧,3,Neutral
teruslah berkembang semoga menjadi aplikasi pencari uang terbaik,5,Positive
good,5,Positive
sangat memuaskan,5,Positive
apk ny bgs cmn waktu itu filternya kehapus dari fav ku,3,Neutral
Sy mau instal ig tp gk bisa bisa,5,Positive
"cambiando account da vecchio a nuovo, il numero di Mi piace sui post diminuisce drasticamente",5,Positive
keren cepat,5,Positive
semoga sukses selalu,5,Positive
Bagus cok,5,Positive
"Masalah diatasi, tapi video orang2 dengan label judi masih ada, tolong di tingkatkan lagi.. mau like video tapi ga jadi karna ada label judi didalamnya",4,Positive
sudah mau 5 tahun aku pake ig ga pernah bosan karna emang sabugus ituuu😋🤍,5,Positive
bagus,5,Positive
Instagram mengajarkan saya menjadi kreatif dan inovatif,4,Positive
good,5,Positive
Banyak bat iklan slot yang sesat pada lewat. Kalo udah gak ada iklan slot gw kasih rate 5. dan jangan kasih iklan di reels anj. gw kira konten orang gaktau nya cuman iklan gak guna. iklan nya banyak bat,1,Negative
kesel deh kenapa sih d ig tuh gak kaya d FB klo buat story kan daftar temen dekat ya terus d ubah jdi publik kapan sih ada fitur itu jdi ya pas buat story pengaturanny teman dekat TPI pas d buat sorotan jdi publik gituh plis tambahin fitur itu,2,Negative
buruk,1,Negative
Mantap,5,Positive
kerenn,4,Positive
nice,5,Positive
senang,5,Positive
ok,5,Positive
nice,5,Positive
"tiba-tiba banget ada pembatasan pada akun, sudah mengajukan banding tapi belum ada respon pdhl sudah ada satu minggu-an",1,Negative
sangat cocok,4,Positive
bagus banget,5,Positive
🤩,1,Negative
"kecewa sama instagram, sekarang aplikasi nya makin jelek, akun saya dikit - dikit kena band, padahal ga melanggar sama sekali, ayo lah tolong kalo akun nya tidak melanggar jangan di band, saya uda 3 akun di band, kalo masi di band lagi lagi, saya tidak akan menggunakan aplikasi instgram lagi👎👎👎👎",1,Negative
saya suka menggunakan aplikasi instagram,5,Positive
Like,5,Positive
sejak gabung sama meta bug nya tambah banyak coooo,1,Negative
ok,5,Positive
Bagus,5,Positive
menambah wawasan dan lebih keren,5,Positive
"bagus kokk,",4,Positive
mantap,5,Positive
ok,5,Positive
Bermanfaat,5,Positive
👍,5,Positive
tidak ter tatarik,1,Negative
sangat membantu,5,Positive
sangat menbantu medalatkan impormasi,5,Positive
"aku simple aja nyo, balikin jj ig kek dulu lagi udah itu aja",1,Negative
tidak boros paket itu ajh,5,Positive
😊,5,Positive
semuanya butuh uang,5,Positive
bagus buat hiburan dan menambah wawasan,5,Positive
keren,5,Positive
"Why after the update, the notes feature was removed? Even though this feature is useful, why was it removed? Even though it is very useful in Indonesia, it is fun, please pliss restore the notes feature, 1 star first",1,Negative
banyak bug.,1,Negative
suka,5,Positive
"EMANG PAOK META INI, SEMBARANGAN BAN AKUN AKU.",1,Negative
"bagus dah ,gk nyesal download nya ,disini tersedia banyak fitur yang mungkin di sukai banyak orang",5,Positive
bagus,5,Positive
mantap,5,Positive
apk nya di gw g bisa di bukak,5,Positive
Saya mau donglowt ini,5,Positive
semuanya sih udah bagus,5,Positive
mantap,5,Positive
puas dengan hasil,5,Positive
bagus dan Sangat Membantu,5,Positive
filter yang tersimpan hilang hampir semuanya setelah melakukan update aplikasi tolong di benahi,4,Positive
Kenapa buka buka sendiri otomatis sih tolol,1,Negative
bagussssss buanget 🫰🏻🫰🏻,5,Positive
mantap informasi nya update terpercaya dan viral...,5,Positive
puas,5,Positive
tolang perbaiki bug soal sering terjadi bug saya sudah setel agar muncul notif kenapa gak muncul,1,Negative
matap,5,Positive
love..,5,Positive
error terus gabisa repost story,1,Negative
keren,5,Positive
good,5,Positive
sangat bagus,5,Positive
menarik,5,Positive
tidak bisa menyukai vidio orang lain,1,Negative
Bgus banget,5,Positive
apknya sangat membantu,4,Positive
oke,4,Positive
wau,5,Positive
mantaps,5,Positive
best bngt,5,Positive
Tdk sesuai di hp saya,1,Negative
saya mendapatkan teman dan sya juga terhibur,5,Positive
"Instagram nya sangat bagus,saya suka👍",5,Positive
"Saya suka bermain ig, seru",5,Positive
kren,5,Positive
"tolong kembalikan fitur catatan postingan, Terima kasih",3,Neutral
ig ini sangat bagus bagi saya,5,Positive
ok,5,Positive
bagusss bgt,5,Positive
lumayan,4,Positive
bagus,4,Positive
mohon maaf saya ingin melapor kan kalau instagram saya bermasalah,1,Negative
cocok aman terkendali,5,Positive
salah satu apk terbaik,5,Positive
